Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing,Availability,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Francois,Midfielder,Fulham,4.4,0,0,0,0,0,0.5,0,0,,,,100,Available,,0,2116,22,3448,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Nov 24, 22:00",272,"Tue Dec 19, 16:15:01"
Fraser,Forward,Wolves,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0.1,13323,262,9819,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Nov 10, 17:30",704,"Tue Dec 19, 16:15:02"
Fraser,Midfielder,Newcastle,4.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Southampton,0,285,0,4157,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 28, 08:19",410,"Tue Dec 19, 16:15:01"
Fred,Midfielder,Man Utd,5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Fenerbahce,0,322,0,10752,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 14, 03:59",381,"Tue Dec 19, 16:15:01"
Fredericks,Defender,Bournemouth,4.3,0,0,0,0,0,0,0,0,,,,0,Injured,Calf injury - Unknown return date,0,706,5,2291,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Aug 6, 23:30",68,"Tue Dec 19, 16:15:01"
Freeman,Midfielder,Luton,4.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Released,0,59,0,1909,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 25, 08:38",322,"Tue Dec 19, 16:15:01"
Freuler,Midfielder,Nottm Forest,4.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Bologna,0,105,0,1940,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Sep 3, 20:10",446,"Tue Dec 19, 16:15:01"
G.Scarpa,Midfielder,Nottm Forest,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Olympiacos,0,296,0,5244,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 21, 08:31",462,"Tue Dec 19, 16:15:01"
G.Shelvey,Goalkeeper,Nottm Forest,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1620,17,2721,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,636,"Tue Dec 19, 16:15:01"
Gbamin,Midfielder,Everton,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Contract cancelled,0,330,0,2398,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sat Sep 2, 08:58",251,"Tue Dec 19, 16:15:01"
Gilchrist,Defender,Chelsea,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1721,15,1245,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,716,"Tue Dec 19, 16:15:01"
Gillespie,Goalkeeper,Newcastle,3.9,0,0,0,0,0,1,0,0,,,,100,Available,,0.1,5050,57,4895,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,411,"Tue Dec 19, 16:15:01"
